title,description,requirements,fraudulent
MAKE $50K IN 30 DAYS,"Earn easy money with our simple online job. Work from anywhere. Get immediate cash payments. Guaranteed $50,000 in one month.",None. No experience. No degree required.,1
MAKE $50K IN 30 DAYS,"Earn easy money with our simple online job. Work from anywhere. Get immediate cash payments. Guaranteed $50,000 in one month.",None. No experience. No degree required.,1
Easy Money - $10k/month,"Get paid $10,000 per month working from home! No skills needed. Guaranteed income. Work whenever you want.",No requirements at all. Anyone can apply. Immediate hiring.,1
Data Scientist,Join our data team! We need a skilled data scientist to analyze business metrics and build predictive models. Our company has over 50 years of history.,"Masters in Statistics/CS, 3+ years ML experience, proficiency in Python and SQL",0
Data Scientist,Join our data team! We need a skilled data scientist to analyze business metrics and build predictive models. Our company has over 50 years of history.,"Masters in Statistics/CS, 3+ years ML experience, proficiency in Python and SQL",0
INSTANT HIRING - Work from home,"Risk-free job opportunity! Start working today and get paid tomorrow. We are hiring everyone. Phone interview only, no office visit needed.",No qualifications needed. We accept everyone.,1
INSTANT HIRING - Work from home,"Risk-free job opportunity! Start working today and get paid tomorrow. We are hiring everyone. Phone interview only, no office visit needed.",No qualifications needed. We accept everyone.,1
MAKE $50K IN 30 DAYS,"Earn easy money with our simple online job. Work from anywhere. Get immediate cash payments. Guaranteed $50,000 in one month.",None. No experience. No degree required.,1
Senior Python Developer,We are looking for an experienced Python developer with 5+ years of experience in backend development. You will work with our engineering team to build scalable applications.,"BS in Computer Science or related field, 5+ years Python experience, experience with Django or FastAPI",0
Easy Money - $10k/month,"Get paid $10,000 per month working from home! No skills needed. Guaranteed income. Work whenever you want.",No requirements at all. Anyone can apply. Immediate hiring.,1
UX/UI Designer,"Our design team is expanding. We seek creative designers with strong portfolio. Location: San Francisco, CA. Competitive salary and benefits.","Portfolio required, 3+ years design experience, proficiency in Figma and Adobe Creative Suite",0
High Paying Work From Home,Start earning $100/hour from your home! No skills needed. Immediate start. Must send $50 deposit to secure position.,Send upfront payment of $50 to get started,1
High Paying Work From Home,Start earning $100/hour from your home! No skills needed. Immediate start. Must send $50 deposit to secure position.,Send upfront payment of $50 to get started,1
Full Stack Engineer,"Help us build the next generation of web applications. We offer competitive salary, health insurance, 401k, and flexible work arrangements.","5+ years experience, strong JavaScript/React background, Node.js and SQL experience",0
Senior Python Developer,We are looking for an experienced Python developer with 5+ years of experience in backend development. You will work with our engineering team to build scalable applications.,"BS in Computer Science or related field, 5+ years Python experience, experience with Django or FastAPI",0
Join Our Affiliate Program - EASY MONEY,Make unlimited money! Get $100 for each person you refer. Work from home with no responsibilities. Immediate payment guaranteed.,Just recruit people and earn passive income,1
Join Our Affiliate Program - EASY MONEY,Make unlimited money! Get $100 for each person you refer. Work from home with no responsibilities. Immediate payment guaranteed.,Just recruit people and earn passive income,1
Product Manager,Lead product strategy at our growing SaaS company. Our team has shipped 3 major products to 100k+ users.,"5+ years PM experience, proven track record with successful launches, strong analytical skills",0
Easy Money - $10k/month,"Get paid $10,000 per month working from home! No skills needed. Guaranteed income. Work whenever you want.",No requirements at all. Anyone can apply. Immediate hiring.,1
High Paying Work From Home,Start earning $100/hour from your home! No skills needed. Immediate start. Must send $50 deposit to secure position.,Send upfront payment of $50 to get started,1
High Paying Work From Home,Start earning $100/hour from your home! No skills needed. Immediate start. Must send $50 deposit to secure position.,Send upfront payment of $50 to get started,1
Easy Money - $10k/month,"Get paid $10,000 per month working from home! No skills needed. Guaranteed income. Work whenever you want.",No requirements at all. Anyone can apply. Immediate hiring.,1
WORK FROM HOME - NO EXPERIENCE NEEDED,Make $5000 per week with no experience needed! We hire immediately. All you need is a phone and email. No interview required.,No experience required. No education needed. Start immediately.,1
Join Our Affiliate Program - EASY MONEY,Make unlimited money! Get $100 for each person you refer. Work from home with no responsibilities. Immediate payment guaranteed.,Just recruit people and earn passive income,1
Full Stack Engineer,"Help us build the next generation of web applications. We offer competitive salary, health insurance, 401k, and flexible work arrangements.","5+ years experience, strong JavaScript/React background, Node.js and SQL experience",0
Product Manager,Lead product strategy at our growing SaaS company. Our team has shipped 3 major products to 100k+ users.,"5+ years PM experience, proven track record with successful launches, strong analytical skills",0
INSTANT HIRING - Work from home,"Risk-free job opportunity! Start working today and get paid tomorrow. We are hiring everyone. Phone interview only, no office visit needed.",No qualifications needed. We accept everyone.,1
UX/UI Designer,"Our design team is expanding. We seek creative designers with strong portfolio. Location: San Francisco, CA. Competitive salary and benefits.","Portfolio required, 3+ years design experience, proficiency in Figma and Adobe Creative Suite",0
WORK FROM HOME - NO EXPERIENCE NEEDED,Make $5000 per week with no experience needed! We hire immediately. All you need is a phone and email. No interview required.,No experience required. No education needed. Start immediately.,1
Full Stack Engineer,"Help us build the next generation of web applications. We offer competitive salary, health insurance, 401k, and flexible work arrangements.","5+ years experience, strong JavaScript/React background, Node.js and SQL experience",0
WORK FROM HOME - NO EXPERIENCE NEEDED,Make $5000 per week with no experience needed! We hire immediately. All you need is a phone and email. No interview required.,No experience required. No education needed. Start immediately.,1
Data Scientist,Join our data team! We need a skilled data scientist to analyze business metrics and build predictive models. Our company has over 50 years of history.,"Masters in Statistics/CS, 3+ years ML experience, proficiency in Python and SQL",0
UX/UI Designer,"Our design team is expanding. We seek creative designers with strong portfolio. Location: San Francisco, CA. Competitive salary and benefits.","Portfolio required, 3+ years design experience, proficiency in Figma and Adobe Creative Suite",0
MAKE $50K IN 30 DAYS,"Earn easy money with our simple online job. Work from anywhere. Get immediate cash payments. Guaranteed $50,000 in one month.",None. No experience. No degree required.,1
Senior Python Developer,We are looking for an experienced Python developer with 5+ years of experience in backend development. You will work with our engineering team to build scalable applications.,"BS in Computer Science or related field, 5+ years Python experience, experience with Django or FastAPI",0
INSTANT HIRING - Work from home,"Risk-free job opportunity! Start working today and get paid tomorrow. We are hiring everyone. Phone interview only, no office visit needed.",No qualifications needed. We accept everyone.,1
WORK FROM HOME - NO EXPERIENCE NEEDED,Make $5000 per week with no experience needed! We hire immediately. All you need is a phone and email. No interview required.,No experience required. No education needed. Start immediately.,1
Senior Python Developer,We are looking for an experienced Python developer with 5+ years of experience in backend development. You will work with our engineering team to build scalable applications.,"BS in Computer Science or related field, 5+ years Python experience, experience with Django or FastAPI",0
INSTANT HIRING - Work from home,"Risk-free job opportunity! Start working today and get paid tomorrow. We are hiring everyone. Phone interview only, no office visit needed.",No qualifications needed. We accept everyone.,1
Easy Money - $10k/month,"Get paid $10,000 per month working from home! No skills needed. Guaranteed income. Work whenever you want.",No requirements at all. Anyone can apply. Immediate hiring.,1
Product Manager,Lead product strategy at our growing SaaS company. Our team has shipped 3 major products to 100k+ users.,"5+ years PM experience, proven track record with successful launches, strong analytical skills",0
Join Our Affiliate Program - EASY MONEY,Make unlimited money! Get $100 for each person you refer. Work from home with no responsibilities. Immediate payment guaranteed.,Just recruit people and earn passive income,1
